# Input,ChemicalName,ChemicalId,CasRN,GeneSymbol,GeneId,Organism,OrganismId,PubMedIds
13463-67-7,titanium dioxide,C009495,13463-67-7,KAZALD1,81621,Mus musculus,10090,23557971|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KBTBD11,9920,Mus musculus,10090,23557971|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KBTBD13,390594,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KBTBD2,25948,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KBTBD4,55709,Mus musculus,10090,29264374
13463-67-7,titanium dioxide,C009495,13463-67-7,KBTBD8,84541,Mus musculus,10090,29264374|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNA1,3736,Mus musculus,10090,23557971|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNA2,3737,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNA3,3738,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNA6,3742,Rattus norvegicus,10116,30012374
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNA7,3743,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNAB1,7881,Mus musculus,10090,29950665
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNAB3,9196,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNB1,3745,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNC1,3746,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNC2,3747,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNC3,3748,Mus musculus,10090,29264374|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNC4,3749,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCND2,3751,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCND3,3752,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNE2,9992,Mus musculus,10090,23557971
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNE3,10008,Mus musculus,10090,23557971|29950665|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNE4,23704,Mus musculus,10090,23557971
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNE5,23630,Mus musculus,10090,29264374|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNF1,3754,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNG1,3755,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNG2,26251,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNG3,170850,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNG4,93107,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNH1,3756,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KCNH2,3757,Mus musculus,10090,29950665|35295148
