# Input,GeneSymbol,GoTermID
afp,AFP,"GO:0031100, GO:0006915, GO:0071300, GO:0048872, GO:0006955, GO:0001889, GO:0097421, GO:0001542, GO:0031016, GO:0042448, GO:0071548, GO:1904772, GO:0019953, GO:0006810"
ager,AGER,"GO:0048143, GO:0014002, GO:0007155, GO:0007166, GO:1904646, GO:0071398, GO:0071333, GO:0070301, GO:0071466, GO:0010255, GO:0009100, GO:0007157, GO:0007156, GO:0050930, GO:0006954, GO:0007611, GO:0030324, GO:0001774, GO:1903523, GO:0007162, GO:0032966, GO:1904597, GO:0010596, GO:0001937, GO:0032693, GO:1900453, GO:1900272, GO:0033689, GO:0001933, GO:0031175, GO:0006909, GO:0042104, GO:1902993, GO:0043065, GO:1902961, GO:0010508, GO:0030335, GO:0032722, GO:2001200, GO:2000105, GO:2000781, GO:2000353, GO:1904472, GO:0010718, GO:0070374, GO:0010763, GO:0048146, GO:0010628, GO:0034116, GO:0032735, GO:0032731, GO:0032755, GO:0046330, GO:0043507, GO:0071639, GO:2000439, GO:0043525, GO:0051092, GO:1901224, GO:1900745, GO:0050766, GO:0060100, GO:1901018, GO:0001934, GO:2000379, GO:0014911, GO:0048661, GO:0032760, GO:2000676, GO:0072657, GO:0072659, GO:0007259, GO:2000514, GO:0051101, GO:0050727, GO:1900271, GO:1901222, GO:1900744, GO:0150003, GO:0048167, GO:0001914, GO:0014823, GO:1904645, GO:0045471, GO:0009750, GO:0033595, GO:0055093, GO:0001666, GO:0051595, GO:0072714, GO:0033189, GO:0009611, GO:0045056, GO:0060290, GO:0150104"
agt,AGT,"GO:0007189, GO:0035932, GO:0038166, GO:0003051, GO:0001998, GO:0002033, GO:0014824, GO:0008306, GO:0048143, GO:0001568, GO:0097746, GO:0001974, GO:0002035, GO:0001658, GO:0007267, GO:0061049, GO:0007160, GO:0008283, GO:0007166, GO:1904385, GO:0071260, GO:0006883, GO:0006307, GO:0006281, GO:0042756, GO:0070371, GO:0008065, GO:0030198, GO:0007565, GO:0048144, GO:0007186, GO:0007199, GO:0042445, GO:0001822, GO:0034374, GO:0002034, GO:0000165, GO:0016525, GO:0030308, GO:0008285, GO:0010951, GO:0010629, GO:0043407, GO:0043524, GO:0051387, GO:0048662, GO:1902306, GO:0034104, GO:1904706, GO:0051402, GO:0038060, GO:0035106, GO:0035265, GO:0001543, GO:0030432, GO:0007200, GO:0045777, GO:0090190, GO:0010666, GO:0010613, GO:0008284, GO:1905920, GO:0001819, GO:0007204, GO:0045893, GO:0010595, GO:0045742, GO:0010718, GO:1901203, GO:0003331, GO:2001238, GO:0045723, GO:0048146, GO:1903598, GO:0010628, GO:0043123, GO:0050729, GO:0046628, GO:0035774, GO:1905589, GO:1905010, GO:0010744, GO:0043410, GO:1902632, GO:1902895, GO:0040018, GO:0010976, GO:0051092, GO:0045429, GO:0010701, GO:0046622, GO:0033138, GO:0051897, GO:1900020, GO:0051247, GO:0061098, GO:2000379, GO:0032930, GO:1904754, GO:1904707, GO:0006606, GO:0042981, GO:0008217, GO:0002016, GO:0051924, GO:1903779, GO:0001558, GO:0042127, GO:1901201, GO:0010468, GO:0002027, GO:0050727, GO:0048169, GO:0014061, GO:0002019, GO:0035813, GO:0001991, GO:0003081, GO:0051969, GO:0019229, GO:0001999, GO:0003014, GO:0002018, GO:1990776, GO:0009409, GO:0032355, GO:0009612, GO:0014873, GO:0009651, GO:0051145, GO:0048659, GO:0051403, GO:0070471, GO:1990874, GO:0042310, GO:0042311, GO:0030103"
agtr1a,AGTR1A,"GO:0042976, GO:0038166, GO:0001568, GO:0007420, GO:0002035, GO:0019722, GO:0060326, GO:0071549, GO:0042416, GO:0042756, GO:0010467, GO:0007186, GO:0007507, GO:0006955, GO:0006954, GO:0001822, GO:0002034, GO:0034392, GO:0022008, GO:0051402, GO:0086097, GO:0007200, GO:0045766, GO:0045777, GO:1903589, GO:0090190, GO:1905665, GO:0008284, GO:1905920, GO:0001819, GO:0007204, GO:0010744, GO:0032430, GO:0051247, GO:0001921, GO:0032930, GO:1904707, GO:0008217, GO:0006885, GO:0002019, GO:0001991, GO:1905459, GO:0019229, GO:0002018, GO:0002001, GO:0014823, GO:1990776, GO:0051412, GO:0043627, GO:0009651, GO:0007266, GO:0007165, GO:1990874, GO:0042310, GO:0046718"
ahr,AHR,"GO:0046222, GO:0006915, GO:0001922, GO:0030183, GO:0001782, GO:0008015, GO:0001568, GO:0048514, GO:0001974, GO:0001569, GO:0043010, GO:0019933, GO:0003214, GO:0000902, GO:1904613, GO:1904682, GO:0071320, GO:0071549, GO:1904322, GO:0071385, GO:0071219, GO:0097237, GO:0032922, GO:0007623, GO:0003243, GO:0001661, GO:0060242, GO:0007565, GO:0048732, GO:0072102, GO:0002376, GO:0030520, GO:0030522, GO:0060993, GO:0001889, GO:0002260, GO:0060763, GO:0010693, GO:1903170, GO:2000279, GO:0045892, GO:0050680, GO:0050728, GO:0045668, GO:0033689, GO:0003085, GO:0002841, GO:0000122, GO:0045906, GO:0046209, GO:0097267, GO:0001541, GO:0043065, GO:0045793, GO:0045893, GO:0040010, GO:0045895, GO:0045899, GO:0045944, GO:0035166, GO:0030850, GO:0034504, GO:1903409, GO:0002819, GO:0030888, GO:0051726, GO:0001817, GO:0006355, GO:1903998, GO:0010468, GO:0060420, GO:0006357, GO:0048608, GO:0046685, GO:0032355, GO:0009636, GO:0009410, GO:0048511, GO:0048536, GO:0043029, GO:0048771, GO:0006366, GO:0001944, GO:0006805"
aifm1,AIFM1,"GO:0008637, GO:0006915, GO:1904045, GO:0071392, GO:0070301, GO:0071456, GO:0071732, GO:0097194, GO:0070059, GO:0033108, GO:0032981, GO:0051402, GO:0030182, GO:0043065, GO:0060545, GO:0043525, GO:0045041, GO:1902510, GO:0022904, GO:0002931, GO:1902065, GO:0006979, GO:0009636"
akr1c2,AKR1C2,"GO:0071395, GO:0071799, GO:0044597, GO:0007586, GO:0044598, GO:0030855, GO:0007186, GO:0008284, GO:0051897, GO:0042448, GO:0006693, GO:0008202"
akt1,AKT1,"GO:0006924, GO:0042640, GO:0043276, GO:0008637, GO:0048266, GO:0030154, GO:0002042, GO:0008283, GO:0030030, GO:0071475, GO:0071276, GO:0036294, GO:0006974, GO:0071364, GO:0097011, GO:0071363, GO:0034605, GO:0071456, GO:0032869, GO:0071260, GO:1990090, GO:0140052, GO:1901653, GO:0036120, GO:0071380, GO:0072752, GO:0034614, GO:0072709, GO:0033554, GO:0071356, GO:0035924, GO:0006338, GO:0019221, GO:0007010, GO:0007173, GO:0072655, GO:0060079, GO:0097194, GO:0010761, GO:0010467, GO:0007281, GO:0042593, GO:0006006, GO:0005978, GO:0060709, GO:0005977, GO:0007186, GO:0007249, GO:0006954, GO:0048009, GO:0008286, GO:0035655, GO:0035556, GO:0060716, GO:0031663, GO:0072656, GO:0022605, GO:0060644, GO:0001893, GO:0052031, GO:0043066, GO:0010507, GO:0110099, GO:0045792, GO:0160049, GO:1902018, GO:0010951, GO:2001240, GO:0031999, GO:0010629, GO:1903384, GO:2001243, GO:0046329, GO:1903038, GO:0010748, GO:2000402, GO:0016242, GO:0045665, GO:0045746, GO:1902176, GO:1903898, GO:0032091, GO:0006469, GO:0150033, GO:1903318, GO:0031397, GO:0045861, GO:0090201, GO:0032929, GO:0038061, GO:0006809, GO:0046209, GO:0001649, GO:0018105, GO:0018107, GO:0032287, GO:0016310, GO:0043065, GO:0043536, GO:0030307, GO:0030335, GO:0045737, GO:0051091, GO:0045893, GO:0032079, GO:0010595, GO:0001938, GO:0045600, GO:0010763, GO:1900087, GO:0010628, GO:0046326, GO:0010907, GO:0045725, GO:1903721, GO:0046889, GO:0010918, GO:0045429, GO:0051000, GO:0046622, GO:0033138, GO:0032436, GO:2000010, GO:1905552, GO:1900182, GO:1903078, GO:0051247, GO:0001934, GO:0048661, GO:0010765, GO:1904263, GO:1904515, GO:0045944, GO:0045907, GO:0043161, GO:0046777, GO:0030163, GO:0006606, GO:0043491, GO:0036211, GO:0006468, GO:0016567, GO:1903715, GO:0042981, GO:0030334, GO:0005979, GO:0043488, GO:0031641, GO:0010975, GO:0099175, GO:0032880, GO:1901796, GO:0006417, GO:0110002, GO:2000074, GO:0034405, GO:0032094, GO:0070848, GO:0060416, GO:0009408, GO:0009725, GO:1990418, GO:0002931, GO:0014850, GO:0031667, GO:0006979, GO:0070141, GO:0007165, GO:0003376, GO:0021510, GO:0051146, GO:0031295, GO:0031929, GO:0006412, GO:0097700"
akt2,AKT2,"GO:0090630, GO:0060348, GO:0071486, GO:0032870, GO:0032869, GO:0006338, GO:0045444, GO:0042593, GO:0006006, GO:0005978, GO:0008286, GO:0060644, GO:0043066, GO:0010748, GO:1903898, GO:0033119, GO:0032287, GO:0016310, GO:1904179, GO:1903676, GO:0030335, GO:2000147, GO:0032000, GO:0010628, GO:0046326, GO:0010907, GO:0045725, GO:0045429, GO:0033138, GO:0050927, GO:0001934, GO:0090314, GO:0009967, GO:0010765, GO:0045944, GO:0043491, GO:0072659, GO:0036211, GO:0006468, GO:0050821, GO:0051726, GO:0030334, GO:0001666, GO:0032868, GO:0014850, GO:0031667, GO:0097473, GO:0007165"
alad,ALAD,"GO:0071353, GO:0071284, GO:0006784, GO:0006785, GO:0006783, GO:0048034, GO:1901799, GO:0006779, GO:0051260, GO:0006782, GO:0014823, GO:0010044, GO:0043200, GO:0046685, GO:0046686, GO:0032025, GO:0045471, GO:0070542, GO:0051384, GO:0009635, GO:0009725, GO:0001666, GO:0010212, GO:0010039, GO:0010288, GO:0032496, GO:0046689, GO:0010038, GO:0051597, GO:0007584, GO:0031667, GO:0006979, GO:0070541, GO:0010269, GO:0009636, GO:0033273, GO:0010266, GO:0033197, GO:0009410, GO:0010043, GO:0033014"
alb,ALB,"GO:0007350, GO:0098869, GO:0072732, GO:0009267, GO:0051902, GO:0046010, GO:1904614, GO:0046689, GO:0007584, GO:0070541, GO:0006810, GO:0042311"
aldh1a1,ALDH1A1,"GO:0042904, GO:0042905, GO:0006915, GO:0006081, GO:0110095, GO:0048048, GO:0044849, GO:0030392, GO:0006001, GO:0009449, GO:0001822, GO:0001889, GO:0036438, GO:0007494, GO:0120163, GO:0002072, GO:0043065, GO:0032355, GO:0045471, GO:0006979, GO:0032526, GO:0009410, GO:0002138, GO:0042573, GO:0001523, GO:0042572"
aldh1l2,ALDH1L2,"GO:0009258, GO:0009058, GO:0006635, GO:0046655, GO:0006740, GO:0006730"
aldh2,ALDH2,"GO:0006117, GO:0006066, GO:0046185, GO:0008637, GO:0048149, GO:0005975, GO:0110095, GO:0071398, GO:0032870, GO:1904639, GO:0006068, GO:0006067, GO:0008631, GO:0001889, GO:0043066, GO:0018937, GO:1903179, GO:2000377, GO:1902882, GO:1905627, GO:0032355, GO:0045471, GO:0055093, GO:0002931, GO:0032496, GO:0035094, GO:0032570, GO:0033574"
